"","date","stockID","factorscore"
"108",2015-11-09,"EQ000543",-1.93179811366276
"109",2015-11-09,"EQ000544",-5.43180021580802
"110",2015-11-09,"EQ000546",-3.57391068491421
"111",2015-11-09,"EQ000547",-6.01715158147816
"112",2015-11-09,"EQ000548",-3.27959163375222
"113",2015-11-09,"EQ000550",-2.29141244422837
"114",2015-11-09,"EQ000551",-3.50390030291608
"115",2015-11-09,"EQ000552",-1.74018099778422
"116",2015-11-09,"EQ000553",-3.02286857820224
"117",2015-11-09,"EQ000554",-6.73758750781706
"118",2015-11-09,"EQ000558",-10.6895262270747
"119",2015-11-09,"EQ000559",-13.3678290522123
"120",2015-11-09,"EQ000560",-3.66696223995266
"121",2015-11-09,"EQ000561",-6.73206603108292
"122",2015-11-09,"EQ000563",-3.46600081141216
"123",2015-11-09,"EQ000564",-4.00343836907706
"124",2015-11-09,"EQ000565",-8.38028781682688
"125",2015-11-09,"EQ000566",-8.69391956376378
"126",2015-11-09,"EQ000567",-22.2371243834772
"127",2015-11-09,"EQ000568",-3.46668658186071
"128",2015-11-09,"EQ000570",-2.91799570876845
"129",2015-11-09,"EQ000571",-2.67830344431726
"130",2015-11-09,"EQ000572",-1.44297259638953
"131",2015-11-09,"EQ000573",-2.78418663759444
"132",2015-11-09,"EQ000581",-2.15528377856338
"133",2015-11-09,"EQ000582",-3.84436106157095
"134",2015-11-09,"EQ000584",-4.96455321936236
"135",2015-11-09,"EQ000589",-1.42929126041872
"136",2015-11-09,"EQ000591",-14.5788768644444
"137",2015-11-09,"EQ000592",-16.7488003744079
"138",2015-11-09,"EQ000593",-5.18543764984764
"139",2015-11-09,"EQ000596",-3.65463728623551
"140",2015-11-09,"EQ000597",-1.7480194877715
"141",2015-11-09,"EQ000598",-2.90124681925732
"142",2015-11-09,"EQ000599",-2.2596481421742
"143",2015-11-09,"EQ000600",-1.89058329532727
"144",2015-11-09,"EQ000601",-3.48382368357907
"145",2015-11-09,"EQ000606",-4.85187646289264
"146",2015-11-09,"EQ000608",-1.21122425323355
"147",2015-11-09,"EQ000609",-3.51086080355077
"148",2015-11-09,"EQ000610",-4.22722029947813
"149",2015-11-09,"EQ000612",-1.75572986496255
"150",2015-11-09,"EQ000615",-4.18689547615298
"151",2015-11-09,"EQ000616",-2.87785333435152
